epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,517.781,0.88641,0.68887,0.0032,0.7269,0.78666,0.80583,0.68457,0.6229,0.47681,0.00301,0.0007459,0.0007459,0.0007459
156,521.407,0.83832,0.62442,0.00264,0.60181,0.7743,0.82334,0.70832,0.62783,0.50917,0.00328,0.00074425,0.00074425,0.00074425
157,527.114,0.86079,0.62996,0.00286,0.60181,0.7743,0.82334,0.70832,0.62783,0.50917,0.00328,0.0007426,0.0007426,0.0007426
158,531.444,0.79383,0.57662,0.00265,0.81288,0.66999,0.8138,0.69936,0.56293,0.50715,0.00264,0.00074095,0.00074095,0.00074095
159,534.613,0.85076,0.69585,0.00286,0.81288,0.66999,0.8138,0.69936,0.56293,0.50715,0.00264,0.0007393,0.0007393,0.0007393
160,538.194,0.85001,0.65978,0.00297,0.55855,0.83892,0.81859,0.71386,0.56941,0.49481,0.00265,0.00073765,0.00073765,0.00073765
161,543.476,0.74922,0.64535,0.00263,0.6813,0.80534,0.80029,0.69493,0.55785,0.46385,0.00267,0.000736,0.000736,0.000736
162,547.007,0.78519,0.60498,0.00276,0.6813,0.80534,0.80029,0.69493,0.55785,0.46385,0.00267,0.00073435,0.00073435,0.00073435
163,550.481,0.89193,0.62793,0.00275,0.72179,0.81385,0.80049,0.68773,0.6033,0.46776,0.00302,0.0007327,0.0007327,0.0007327
164,553.971,0.8185,0.59184,0.0022,0.72179,0.81385,0.80049,0.68773,0.6033,0.46776,0.00302,0.00073105,0.00073105,0.00073105
165,557.514,0.78851,0.5638,0.00241,0.62982,0.78685,0.7957,0.67441,0.67085,0.50005,0.00316,0.0007294,0.0007294,0.0007294
166,560.556,0.80148,0.59392,0.00259,0.64251,0.83472,0.81262,0.6944,0.64181,0.50395,0.0031,0.00072775,0.00072775,0.00072775
167,564.088,0.84538,0.58691,0.00275,0.64251,0.83472,0.81262,0.6944,0.64181,0.50395,0.0031,0.0007261,0.0007261,0.0007261
168,567.308,0.76872,0.55675,0.00249,0.77387,0.7968,0.81705,0.70793,0.58056,0.48767,0.00273,0.00072445,0.00072445,0.00072445
169,570.911,0.85862,0.63912,0.00295,0.77387,0.7968,0.81705,0.70793,0.58056,0.48767,0.00273,0.0007228,0.0007228,0.0007228
170,574.153,0.82518,0.58508,0.00281,0.78915,0.78422,0.82028,0.68908,0.70667,0.49941,0.00338,0.00072115,0.00072115,0.00072115
171,577.484,0.88004,0.63566,0.00296,0.81741,0.76631,0.84022,0.71274,0.73034,0.4958,0.00361,0.0007195,0.0007195,0.0007195
172,580.781,0.84886,0.57427,0.00272,0.81741,0.76631,0.84022,0.71274,0.73034,0.4958,0.00361,0.00071785,0.00071785,0.00071785
173,584.196,0.92249,0.64367,0.00314,0.82811,0.77009,0.84632,0.73384,0.57398,0.4641,0.00268,0.0007162,0.0007162,0.0007162
174,587.724,0.82669,0.50963,0.00246,0.82811,0.77009,0.84632,0.73384,0.57398,0.4641,0.00268,0.00071455,0.00071455,0.00071455
175,591.614,0.83324,0.58377,0.00254,0.81896,0.73877,0.84266,0.72544,0.56218,0.46207,0.00259,0.0007129,0.0007129,0.0007129
176,595.176,0.82493,0.59567,0.00267,0.78335,0.81371,0.80426,0.69689,0.58864,0.46138,0.00266,0.00071125,0.00071125,0.00071125
177,598.986,0.82523,0.64429,0.00277,0.78335,0.81371,0.80426,0.69689,0.58864,0.46138,0.00266,0.0007096,0.0007096,0.0007096
